Survey Date,Carrie Lam,CY Leung,Donald Tsang,Tung
18-24/8/2009,,,54.5,
4-10/8/2009,,,54.7,
20-23/7/2009,,,54.1,
6-12/7/2009,,,53.8,
16-21/6/2009,,,55.4,
1-3/6/2009,,,53.4,
19-22/5/2009,,,54.4,
5-7/5/2009,,,57.0,
21-23/4/2009,,,53.2,
1-5/4/2009,,,54.0,
9-11/3/2009,,,52.4,
2-3/3/2009,,,51.6,
25/2/2009,,,53.6,
16-18/2/2009,,,54.4,
2-4/2/2009,,,54.9,
19-21/1/2009,,,53.3,
2-6/1/2009,,,52.9,
16-18/12/2008,,,52.0,
2-8/12/2008,,,50.2,
18-24/11/2008,,,54.5,
5-7/11/2008,,,53.4,
22-24/10/2008,,,51.5,
15/10/2008,,,53.9,
8-10/10/2008,,,52.7,
17-19/9/2008,,,52.3,
1-5/9/2008,,,51.8,
18-20/8/2008,,,54.1,
1-4/8/2008,,,54.8,
14-16/7/2008,,,54.5,
2-3/7/2008,,,55.9,
18-20/6/2008,,,57.9,
4-6/6/2008,,,60.8,
20-22/5/2008,,,66.0,
2-6/5/2008,,,65.1,
16-18/4/2008,,,64.8,
1-3/4/2008,,,64.7,
18-20/3/2008,,,64.3,
5-9/3/2008,,,64.4,
27/2/2008,,,66.4,
18-20/2/2008,,,63.3,
1-5/2/2008,,,63.9,
16-18/1/2008,,,62.9,
2-3/1/2008,,,61.7,
19-24/12/2007,,,61.4,
3-7/12/2007,,,63.5,
21-26/11/2007,,,63.2,
5-9/11/2007,,,64.1,
22-25/10/2007,,,62.9,
10/10/2007,,,64.4,
2-5/10/2007,,,65.8,
17-21/9/2007,,,65.4,
4-7/9/2007,,,65.3,
20-24/8/2007,,,66.7,
6-10/8/2007,,,66.1,
23-26/7/2007,,,66.4,
3-6/7/2007,,,67.9,
15-21/6/2007,,,68.0,
1-7/6/2007,,,66.8,
16-25/5/2007,,,68.1,
4-9/5/2007,,,67.3,
17-20/4/2007,,,68.7,
2-10/4/2007,,,68.9,
19-21/3/2007,,,68.1,
1-6/3/2007,,,66.9,
28/2/2007,,,65.7,
22-26/2/2007,,,65.3,
1-6/2/2007,,,64.3,
22-26/1/2007,,,60.9,
9-12/1/2007,,,60.4,
18-20/12/2006,,,59.4,
30/11-6/12/2006,,,62.0,
20-24/11/2006,,,61.6,
6-10/11/2006,,,62.3,
23-27/10/2006,,,59.7,
11/10/2006,,,59.8,
3-6/10/2006,,,62.9,
14-20/9/2006,,,63.6,
1-7/9/2006,,,64.3,
21-23/8/2006,,,65.2,
1-4/8/2006,,,66.2,
14-21/7/2006,,,65.4,
4-7/7/2006,,,65.8,
19-21/6/2006,,,66.3,
1-6/6/2006,,,68.1,
18-25/5/2006,,,67.2,
4-10/5/2006,,,67.1,
18-21/4/2006,,,68.9,
3-7/4/2006,,,68.3,
13-17/3/2006,,,67.9,
2-8/3/2006,,,67.5,
22/2/2006,,,66.3,
17-21/2/2006,,,65.9,
3-7/2/2006,,,67.4,
16-20/1/2006,,,67.0,
3-6/1/2006,,,67.5,
15-19/12/2005,,,64.2,
30/11-5/12/2005,,,65.6,
18-23/11/2005,,,67.4,
1-7/11/2005,,,67.1,
25-29/10/2005,,,68.2,
12/10/2005,,,67.4,
3-6/10/2005,,,68.0,
26-29/9/2005,,,69.4#,
1-7/9/2005,,,66.7,
22-25/8/2005,,,64.8,
1-4/8/2005,,,67.4,
25-29/7/2005,,,69.0,
4-6/7/2005,,,71.4,
